"","ngrip_age","ngrip_oxy18"
"1",0.02,-34.91
"2",0.04,-35.11
"3",0.06,-34.65
"4",0.08,-34.53
"5",0.1,-35.29
"6",0.12,-35.02
"7",0.14,-35.02
"8",0.16,-35.78
"9",0.18,-35.16
"10",0.2,-35.61
"11",0.22,-35.12
"12",0.24,-35.79
"13",0.26,-35.82
"14",0.28,-35.36
"15",0.3,-36.05
"16",0.32,-35.39
"17",0.34,-36.14
"18",0.36,-35.33
"19",0.38,-35.35
"20",0.4,-35.72
"21",0.42,-35.03
"22",0.44,-35.61
"23",0.46,-35.83
"24",0.48,-34.93
"25",0.5,-35.07
"26",0.52,-35.87
"27",0.54,-35.13
"28",0.56,-34.98
"29",0.58,-35.04
"30",0.6,-35.54
"31",0.62,-34.86
"32",0.64,-35.25
"33",0.66,-36.43
"34",0.68,-35.07
"35",0.7,-35.2
"36",0.72,-35.49
"37",0.74,-35.66
"38",0.76,-35.4
"39",0.78,-35.15
"40",0.8,-35.8
"41",0.82,-35.34
"42",0.84,-35.62
"43",0.86,-35.36
"44",0.88,-35.59
"45",0.9,-35.14
"46",0.92,-35.45
"47",0.94,-35.61
"48",0.96,-35.92
"49",0.98,-34.96
"50",1,-35.24
"51",1.02,-35.02
"52",1.04,-35
"53",1.06,-34.98
"54",1.08,-35.41
"55",1.1,-35.73
"56",1.12,-35.35
"57",1.14,-35.75
"58",1.16,-35.45
"59",1.18,-35.34
"60",1.2,-35.38
"61",1.22,-35.27
"62",1.24,-35.15
"63",1.26,-35.33
"64",1.28,-35.33
"65",1.3,-35.27
"66",1.32,-35.14
"67",1.34,-34.69
"68",1.36,-35.44
"69",1.38,-35.26
"70",1.4,-35.14
"71",1.42,-35.28
"72",1.44,-34.43
"73",1.46,-35.78
"74",1.48,-35.33
"75",1.5,-35.83
"76",1.52,-35.38
"77",1.54,-35.36
"78",1.56,-35.74
"79",1.58,-34.46
"80",1.6,-34.64
"81",1.62,-35.27
"82",1.64,-35.86
"83",1.66,-35.49
"84",1.68,-35.27
"85",1.7,-35.8
"86",1.72,-34.93
"87",1.74,-35.55
"88",1.76,-35.9
"89",1.78,-35.44
"90",1.8,-35.47
"91",1.82,-35.37
"92",1.84,-35.04
"93",1.86,-35.39
"94",1.88,-34.49
"95",1.9,-35.07
"96",1.92,-34.43
"97",1.94,-34.71
"98",1.96,-35.1
"99",1.98,-35.32
"100",2,-35.11
"101",2.02,-34.79
"102",2.04,-35.35
"103",2.06,-34.95
"104",2.08,-34.89
"105",2.1,-35.07
"106",2.12,-35.46
"107",2.14,-35.18
"108",2.16,-36.07
"109",2.18,-35.76
"110",2.2,-35.2
"111",2.22,-35.26
"112",2.24,-34.84
"113",2.26,-34.57
"114",2.28,-34.81
"115",2.3,-35.11
"116",2.32,-34.94
"117",2.34,-35.09
"118",2.36,-35.26
"119",2.38,-35.08
"120",2.4,-34.68
"121",2.42,-34.86
"122",2.44,-35.32
"123",2.46,-35.88
"124",2.48,-35.48
"125",2.5,-35.71
"126",2.52,-34.83
"127",2.54,-35.24
"128",2.56,-34.84
"129",2.58,-35.43
"130",2.6,-35.06
"131",2.62,-35.41
"132",2.64,-35.14
"133",2.66,-35.14
"134",2.68,-35.43
"135",2.7,-35.32
"136",2.72,-35.12
"137",2.74,-35.1
"138",2.76,-34.83
"139",2.78,-34.91
"140",2.8,-34.99
"141",2.82,-34.92
"142",2.84,-34.63
"143",2.86,-35.49
"144",2.88,-35.2
"145",2.9,-34.98
"146",2.92,-34.81
"147",2.94,-34.38
"148",2.96,-34.81
"149",2.98,-34.85
"150",3,-34.79
"151",3.02,-35.45
"152",3.04,-35.14
"153",3.06,-34.94
"154",3.08,-35.14
"155",3.1,-34.97
"156",3.12,-34.87
"157",3.14,-35.04
"158",3.16,-35.26
"159",3.18,-34.54
"160",3.2,-35.25
"161",3.22,-35.28
"162",3.24,-34.76
"163",3.26,-35.54
"164",3.28,-35.25
"165",3.3,-35.24
"166",3.32,-34.89
"167",3.34,-34.29
"168",3.36,-34.98
"169",3.38,-35.42
"170",3.4,-34.66
"171",3.42,-34.8
"172",3.44,-34.67
"173",3.46,-35.19
"174",3.48,-35.28
"175",3.5,-34.75
"176",3.52,-35.1
"177",3.54,-35.42
"178",3.56,-34.77
"179",3.58,-34.63
"180",3.6,-35.09
"181",3.62,-35.18
"182",3.64,-34.93
"183",3.66,-34.28
"184",3.68,-34.71
"185",3.7,-34.68
"186",3.72,-34.41
"187",3.74,-34.65
"188",3.76,-35.36
"189",3.78,-35.27
"190",3.8,-34.78
"191",3.82,-35.01
"192",3.84,-35.17
"193",3.86,-35.36
"194",3.88,-34.9
"195",3.9,-35.34
"196",3.92,-35.16
"197",3.94,-34.85
"198",3.96,-35.12
"199",3.98,-34.96
"200",4,-35.14
"201",4.02,-34.41
"202",4.04,-35.2
"203",4.06,-34.74
"204",4.08,-35.53
"205",4.1,-35.14
"206",4.12,-34.87
"207",4.14,-35.2
"208",4.16,-34.72
"209",4.18,-34.76
"210",4.2,-34.5
"211",4.22,-34.78
"212",4.24,-35.01
"213",4.26,-35.26
"214",4.28,-34.92
"215",4.3,-34.63
"216",4.32,-34.79
"217",4.34,-34.75
"218",4.36,-35
"219",4.38,-35.47
"220",4.4,-35.2
"221",4.42,-34.76
"222",4.44,-34.06
"223",4.46,-34.8
"224",4.48,-35.15
"225",4.5,-34.83
"226",4.52,-35.27
"227",4.54,-34.83
"228",4.56,-34.21
"229",4.58,-34.57
"230",4.6,-34.51
"231",4.62,-35.05
"232",4.64,-34.69
"233",4.66,-35.21
"234",4.68,-35.02
