"ngrip_age"	"ngrip_oxy18"
0.02	-34.91
0.04	-35.11
0.06	-34.65
0.08	-34.53
0.1	-35.29
0.12	-35.02
0.14	-35.02
0.16	-35.78
0.18	-35.16
0.2	-35.61
0.22	-35.12
0.24	-35.79
0.26	-35.82
0.28	-35.36
0.3	-36.05
0.32	-35.39
0.34	-36.14
0.36	-35.33
0.38	-35.35
0.4	-35.72
0.42	-35.03
0.44	-35.61
0.46	-35.83
0.48	-34.93
0.5	-35.07
0.52	-35.87
0.54	-35.13
0.56	-34.98
0.58	-35.04
0.6	-35.54
0.62	-34.86
0.64	-35.25
0.66	-36.43
0.68	-35.07
0.7	-35.2
0.72	-35.49
0.74	-35.66
0.76	-35.4
0.78	-35.15
0.8	-35.8
0.82	-35.34
0.84	-35.62
0.86	-35.36
0.88	-35.59
0.9	-35.14
0.92	-35.45
0.94	-35.61
0.96	-35.92
0.98	-34.96
1	-35.24
1.02	-35.02
1.04	-35
1.06	-34.98
1.08	-35.41
1.1	-35.73
1.12	-35.35
1.14	-35.75
1.16	-35.45
1.18	-35.34
1.2	-35.38
1.22	-35.27
1.24	-35.15
1.26	-35.33
1.28	-35.33
1.3	-35.27
1.32	-35.14
1.34	-34.69
1.36	-35.44
1.38	-35.26
1.4	-35.14
1.42	-35.28
1.44	-34.43
1.46	-35.78
1.48	-35.33
1.5	-35.83
1.52	-35.38
1.54	-35.36
1.56	-35.74
1.58	-34.46
1.6	-34.64
1.62	-35.27
1.64	-35.86
1.66	-35.49
1.68	-35.27
1.7	-35.8
1.72	-34.93
1.74	-35.55
1.76	-35.9
1.78	-35.44
1.8	-35.47
1.82	-35.37
1.84	-35.04
1.86	-35.39
1.88	-34.49
1.9	-35.07
1.92	-34.43
1.94	-34.71
1.96	-35.1
1.98	-35.32
2	-35.11
2.02	-34.79
2.04	-35.35
2.06	-34.95
2.08	-34.89
2.1	-35.07
2.12	-35.46
2.14	-35.18
2.16	-36.07
2.18	-35.76
2.2	-35.2
2.22	-35.26
2.24	-34.84
2.26	-34.57
2.28	-34.81
2.3	-35.11
2.32	-34.94
2.34	-35.09
2.36	-35.26
2.38	-35.08
2.4	-34.68
2.42	-34.86
2.44	-35.32
2.46	-35.88
2.48	-35.48
2.5	-35.71
2.52	-34.83
2.54	-35.24
2.56	-34.84
2.58	-35.43
2.6	-35.06
2.62	-35.41
2.64	-35.14
2.66	-35.14
2.68	-35.43
2.7	-35.32
2.72	-35.12
2.74	-35.1
2.76	-34.83
2.78	-34.91
2.8	-34.99
2.82	-34.92
2.84	-34.63
2.86	-35.49
2.88	-35.2
2.9	-34.98
2.92	-34.81
2.94	-34.38
2.96	-34.81
2.98	-34.85
3	-34.79
3.02	-35.45
3.04	-35.14
3.06	-34.94
3.08	-35.14
3.1	-34.97
3.12	-34.87
3.14	-35.04
3.16	-35.26
3.18	-34.54
3.2	-35.25
3.22	-35.28
3.24	-34.76
3.26	-35.54
3.28	-35.25
3.3	-35.24
3.32	-34.89
3.34	-34.29
3.36	-34.98
3.38	-35.42
3.4	-34.66
3.42	-34.8
3.44	-34.67
3.46	-35.19
3.48	-35.28
3.5	-34.75
3.52	-35.1
3.54	-35.42
3.56	-34.77
3.58	-34.63
3.6	-35.09
3.62	-35.18
3.64	-34.93
3.66	-34.28
3.68	-34.71
3.7	-34.68
3.72	-34.41
3.74	-34.65
3.76	-35.36
3.78	-35.27
3.8	-34.78
3.82	-35.01
3.84	-35.17
3.86	-35.36
3.88	-34.9
3.9	-35.34
3.92	-35.16
3.94	-34.85
3.96	-35.12
3.98	-34.96
4	-35.14
4.02	-34.41
4.04	-35.2
4.06	-34.74
4.08	-35.53
4.1	-35.14
4.12	-34.87
4.14	-35.2
4.16	-34.72
4.18	-34.76
4.2	-34.5
4.22	-34.78
4.24	-35.01
4.26	-35.26
4.28	-34.92
4.3	-34.63
4.32	-34.79
4.34	-34.75
4.36	-35
4.38	-35.47
4.4	-35.2
4.42	-34.76
4.44	-34.06
4.46	-34.8
4.48	-35.15
4.5	-34.83
4.52	-35.27
