"ages_50" "events_50"
0.04 14
0.09 15
0.14 14
0.19 12
0.24 4
0.29 2
0.33 2
0.39 9
0.43 4
0.48 39
0.54 13
0.59 10
0.64 11
0.69 4
0.74 10
0.79 15
0.84 2
0.89 11
0.94 8
0.99 9
1.04 11
1.09 8
1.14 2
1.19 9
1.24 14
1.29 6
1.34 13
1.39 7
1.44 7
1.49 20
1.54 4
1.59 8
1.64 3
1.69 19
1.74 2
1.79 8
1.84 4
1.89 0
1.94 3
1.99 18
2.04 8
2.09 16
2.14 5
2.19 7
2.24 6
2.29 5
2.33 17
2.38 3
2.43 0
2.48 27
2.53 8
2.58 6
2.63 4
2.68 5
2.73 5
2.78 11
2.83 0
2.88 2
2.93 1
2.98 25
3.03 4
3.08 7
3.13 2
3.18 7
3.23 3
3.28 4
3.33 5
3.38 4
3.43 1
3.48 16
3.53 6
3.58 12
3.63 3
3.68 4
3.73 3
3.78 10
3.83 1
3.88 2
3.93 0
3.98 35
4.03 0
4.08 7
4.13 0
4.18 11
4.23 0
4.28 2
4.33 4
4.38 0
4.43 0
4.48 10
4.53 2
4.58 4
4.63 6
4.68 3
4.73 1
4.78 3
4.83 0
4.88 3
4.93 0
4.98 13
5.03 2
5.08 3
5.13 4
5.18 3
5.23 0
5.28 2
5.33 0
5.38 0
5.43 0
5.48 15
5.53 0
5.58 4
5.63 0
5.68 1
5.73 1
5.78 1
5.83 0
5.88 2
5.93 0
5.98 16
6.03 0
6.08 0
6.13 0
6.18 5
6.23 1
6.28 3
6.33 0
6.38 0
6.43 1
6.48 11
6.53 0
6.58 0
6.63 0
6.68 1
6.73 0
6.78 2
6.83 2
6.88 1
6.93 0
6.98 27
7.03 0
7.08 2
7.13 0
7.18 0
7.23 0
7.28 0
7.33 0
7.38 1
7.43 0
7.48 6
7.53 0
7.58 0
7.63 0
7.68 1
7.73 0
7.78 0
7.83 0
7.88 1
7.93 0
7.98 24
8.03 0
8.08 3
8.13 0
8.18 3
8.23 0
8.28 1
8.33 0
8.38 0
8.43 0
8.48 7
8.53 0
8.58 0
8.63 0
8.68 0
8.73 0
8.78 1
8.83 0
8.88 0
8.93 0
8.98 10
9.03 0
9.08 0
9.13 0
9.18 0
9.23 0
9.28 0
9.33 0
9.38 1
9.44 0
9.49 4
9.54 0
9.59 5
9.64 0
9.69 0
9.74 0
9.79 0
9.84 0
9.89 0
9.94 0
9.99 13
10.04 0
10.09 0
10.14 0
10.19 0
10.24 0
10.29 3
10.34 0
10.39 0
10.44 0
10.49 6
10.54 0
10.59 0
10.64 0
10.69 0
10.74 0
10.79 1
10.84 0
10.89 0
10.94 0
10.99 15
11.04 0
11.09 1
11.14 0
11.19 0
11.24 0
11.29 0
11.34 0
11.39 0
11.44 0
11.49 3
11.54 0
11.59 0
11.64 0
11.69 0
11.74 0
11.79 2
11.84 0
11.89 0
11.94 0
