begin_age	end_age	events
0.0001	0.2001	['Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP']
0.0251	0.2251	["Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty']
0.0501	0.2501	['Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP']
0.0751	0.2751	['British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty']
0.1001	0.3001	['Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP']
0.1251	0.3251	['Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)']
0.1501	0.3501	['Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP']
0.1751	0.3751	['TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty']
0.2001	0.4001	['Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen']
0.2251	0.4251	['TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen']
