begin_age	end_age	events
0	0.2	['TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP']
0.1	0.3	['TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP']
0.2	0.4	['TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP', 'Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)']
0.3	0.5	['Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty']
0.4	0.6	['TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic']
0.5	0.7	['TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)']
0.6	0.8	['TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan']
0.7	0.9	['Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest']
0.8	1.0	['Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan']
0.9	1.1	['TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan', 'TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean', 'Holy Roman Empire', 'Capetian, Valois, and Bourbon (France); Iberian kingdoms', 'Song dynasty', 'Late Mogollon', 'Northeast Late Woodland', 'Oneota', 'Postclassic Southern Mexican Highlands (Postclassic Oaxaca)', 'Chimu', 'Buyid Dynasty', 'Buyid Rule', 'TOP', 'Liao dynasty', 'TOP']
1.0	1.2	['TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean', 'Holy Roman Empire', 'Capetian, Valois, and Bourbon (France); Iberian kingdoms', 'Song dynasty', 'Late Mogollon', 'Northeast Late Woodland', 'Oneota', 'Postclassic Southern Mexican Highlands (Postclassic Oaxaca)', 'Chimu', 'Buyid Dynasty', 'Buyid Rule', 'TOP', 'Liao dynasty', 'TOP', 'Samanid Dynasty (Khorasan)', 'Central Plains Village', 'Mississippian (Middle Mississippian)', 'West Mexico Postclassic', 'Postclassic Maya', 'Terminal Classic', 'Saffarid Dynasty', 'Pioneer period', 'Colonial period', 'Tahirid Dynasty']
1.1	1.3	['Samanid Dynasty (Khorasan)', 'Central Plains Village', 'Mississippian (Middle Mississippian)', 'West Mexico Postclassic', 'Postclassic Maya', 'Terminal Classic', 'Saffarid Dynasty', 'Pioneer period', 'Colonial period', 'Tahirid Dynasty', 'Terminal Classic', 'Late Classic', 'Chiriqui', 'Manteno', 'Late Chibcha (Columbia)', 'TOP', 'Huari (or Wari)', 'Viking culture', 'Viking culture', 'Papal and city states', 'Carolingian (France); Umayyad (Iberia)', 'West African Regional Development', 'TOP', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'Abbasid rule', 'Islam center shifts from Syria to Iraq', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'TOP', 'Uighur kingdom']
1.2	1.4	['Terminal Classic', 'Late Classic', 'Chiriqui', 'Manteno', 'Late Chibcha (Columbia)', 'TOP', 'Huari (or Wari)', 'Viking culture', 'Viking culture', 'Papal and city states', 'Carolingian (France); Umayyad (Iberia)', 'West African Regional Development', 'TOP', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'Abbasid rule', 'Islam center shifts from Syria to Iraq', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'TOP', 'Uighur kingdom', 'Toltec', 'Central Mexico Postclassic', 'Epiclassic', 'Early classic', 'TOP', 'TOP', 'Islamic', 'Umayyad caliphate', 'Umayyad rule', 'Umayyad caliphate', 'Late Woodland', 'Early Anasazi', 'Eastern North America Late Woodland', 'Spread of Islam', 'Islamic', 'Arabians conquer Alexandria', 'TOP', 'Muslim Arabs overthrow Sasanian rule', 'Caliphate rule', 'Islamic rule', 'Rule of the Rightly Guided Caliphs', 'Emigration of Muhammad']
